Fecha,Hora,Nombre,Calorias (kcal),Carbohidratos (g),Lípidos (g),Proteína (g),Sodio (mg)
4/26/2021,16:00,jumex,160,40,0,1,70
4/26/2021,21:00,gringa pastor,522,41,21,41,0
4/27/2021,8:00,huevos revueltos,199,2,15.2,13,211
4/27/2021,8:00,mayonesa,180,0,20,0,0
4/27/2021,8:00,pan integral,130,20,2,8,190
4/27/2021,8:00,catsup,20,5,0,0,160
4/27/2021,16:00,enchiladas,924,84,14.4,108,1000
4/27/2021,21:00,nito,252,37,10,3,155
4/28/2021,8:00,"Huevos - Huevos Revueltos, 2 huevos",199,2,15,13,211
4/28/2021,8:00,"Tortillas - Tortillas, 3 servings",150,30,4,3,15
4/28/2021,8:00,"arroz roa - Arroz, 50 gr",180,43,0,3,0
4/28/2021,16:00,"Skinnytaste - Picadillo, 1 cup",340,9,14,45,474
4/28/2021,16:00,"cariocas - tostadas, 3 piezas",177,21,10,2,331
4/28/2021,21:00,nito,252,37,10,3,155
4/29/2021,8:00,"Huevos - Huevos Revueltos, 2 huevos",199,2,15,13,211
4/29/2021,8:00,"Pan Integral Bimbo - Pan Integral, 2 rebanadas 52g",130,20,2,8,190
4/29/2021,8:00,"mayonesa - Mayonesa, 1 cucharada",90,0,10,0,0
4/29/2021,8:00,"Catsup, 1 tbsp",17,5,0,0,154
4/29/2021,16:00,"Pescado - Pescado, 100 g",217,1,15,18,0
4/29/2021,16:00,"Coditos econo (elbows) - Coditos (pasta), 2 oz. (55g)",200,39,1,7,0
4/29/2021,16:00,"Tortillas - Tortillas, 3 servings",150,30,4,3,15
4/30/2021,8:00,"Huevos - Huevos Revueltos, 2 huevos",199,2,15,13,211
4/30/2021,8:00,"Pan Integral Bimbo - Pan Integral, 2 rebanadas 52g",130,20,2,8,190
4/30/2021,8:00,"mayonesa - Mayonesa, 1 cucharada",90,0,10,0,0
4/30/2021,8:00,"Catsup, 1 tbsp",17,5,0,0,154
4/30/2021,16:00,"Enmoladas - Enmoladas, 4 enchilada",628,57,27,39,0
4/30/2021,21:00,"nito - bimbo, 1 pieza",252,37,10,3,155
5/1/2021,8:00,"Tamal de cazuela - Tamal verde, 160 grs",300,27,17,9,814
5/1/2021,8:00,"Maseca Tamal - Tamal Oaxaqueño, 100 g",363,74,3,10,0
5/1/2021,8:00,"Bolillo - Bolillo, 1 mediano",125,23,2,4,274
5/1/2021,16:00,torta de milanesa,670,70,30,30,0
5/2/2021,8:00,"Tamal de cazuela - Tamal verde, 160 grs",300,27,17,9,814
5/2/2021,16:00,"Carl's Junior - Super Star, 1 Sandwich",930,59,59,48,1.56
5/2/2021,16:00,"Carl's Jr. - Medium Fries, 1 order",430,56,21,5,870
5/2/2021,16:00,"Coca-Cola - Coca Cola, 330 ml",139,35,0,0,0
5/2/2021,21:00,"nito - bimbo, 1 pieza",252,37,10,3,155
5/2/2021,21:00,"Gamesa - Chokis, 6 galletas (31.5g)",290,41,12,4,270
5/3/2021,8:00,"Huevos - Huevos Revueltos, 2 huevos",199,2,15,13,211
5/3/2021,8:00,"mayonesa - Mayonesa, 1 cucharada",90,0,10,0,0
5/3/2021,8:00,"Catsup, 1 tbsp",17,5,0,0,154
5/3/2021,8:00,"Bolillo - Bolillo, 1 mediano",125,23,2,4,274
5/3/2021,16:00,"Hot Dog Daniel - Hot Dog, 200 gramos",520,9,52,25,244
5/3/2021,21:00,"Gamesa - Chokis, 6 galletas (31.5g)",290,41,12,4,270
5/4/2021,8:00,"Bolillo - Bolillo, 1 mediano",125,23,2,4,274
5/4/2021,8:00,"Catsup, 1 tbsp",17,5,0,0,154
5/4/2021,8:00,"Huevos - Huevos Revueltos, 2 huevos",199,2,15,13,211
5/4/2021,8:00,"mayonesa - Mayonesa, 1 cucharada",90,0,10,0,0
5/4/2021,16:00,"Cocido - Sopa, 1 plato",102,18,1,4,851
5/4/2021,16:00,"Tortillas - Tortillas, 3 servings",150,30,4,3,15
5/4/2021,16:00,"Lalula - Pechuga Asada - Pechuga De Pollo, 200 g",208,0,3,43,110
5/4/2021,21:00,"nito - bimbo, 1 pieza",252,37,10,3,155
5/5/2021,8:00,"Huevos - Huevos Revueltos, 2 huevos",199,2,15,13,211
5/5/2021,8:00,"arroz roa - Arroz, 50 gr",180,43,0,3,0
5/5/2021,8:00,"Tortillas - Tortillas, 3 servings",150,30,4,3,15
5/5/2021,16:00,"Carl's Junior - Super Star, 1 Sandwich",930,59,59,48,1.56
5/5/2021,16:00,"Carl's Jr. - Medium Fries, 1 order",430,56,21,5,870
5/5/2021,16:00,"Orange Fanta - Orange Fanta, 330 ml",160,44,0,0,55
5/5/2021,21:00,"Cuernito Jamon con Queso - cuernito, 1 cuerno",213,30,7,6,508
5/6/2021,8:00,"Huevos - Huevos Revueltos, 2 huevos",199,2,15,13,211
5/6/2021,8:00,"arroz roa - Arroz, 50 gr",180,43,0,3,0
5/6/2021,8:00,"Tortillas - Tortillas, 3 servings",150,30,4,3,15
5/6/2021,16:00,"la unica - tasajo norteño, 3/5 container (100.00 gramo)",197,0,7,38,888
5/6/2021,16:00,"FitzVogt - Frijoles Charros, 4 oz",202,10,14,8,791
5/6/2021,16:00,"Tortillas - Tortillas, 3 servings",150,30,4,3,15
5/6/2021,16:00,"Ariel - Chuleta - Chuleta, 1 chop",270,1,14,33,300
5/7/2021,8:00,"Huevos - Huevos Revueltos, 2 huevos",199,2,15,13,211
5/7/2021,8:00,"arroz roa - Arroz, 50 gr",180,43,0,3,0
5/7/2021,8:00,"Tortillas - Tortillas, 3 servings",150,30,4,3,15
5/7/2021,16:00,"Pescado - Pescado, 100 g",217,1,15,18,0
5/7/2021,16:00,"Coditos econo (elbows) - Coditos (pasta), 2 oz. (55g)",200,39,1,7,0
5/7/2021,21:00,"Ariel - Chuleta - Chuleta, 1 chop",270,1,14,33,300
5/8/2021,8:00,"Huevos - Huevos Revueltos, 2 huevos",199,2,15,13,211
5/8/2021,8:00,"mayonesa - Mayonesa, 1 cucharada",90,0,10,0,0
5/8/2021,8:00,"Catsup, 1 tbsp",17,5,0,0,154
5/8/2021,8:00,"Pan Integral Bimbo - Pan Integral, 2 rebanadas 52g",130,20,2,8,190
5/8/2021,16:00,"Skiiny Taste Pozole - Pozole, 250 ml",365,33,16,22,882
5/8/2021,16:00,"Tyson - Pechuga Empanizada , 200 grs",347,23,13,35,65
5/8/2021,21:00,"nito - bimbo, 1 pieza",252,37,10,3,155
5/9/2021,8:00,"Tamal de cazuela - Tamal verde, 160 grs",300,27,17,9,814
5/9/2021,8:00,"Bolillo - Bolillo, 1 mediano",125,23,2,4,274
5/9/2021,16:00,"Picaña - Picaña chida, 200 gramos",310,0,6,62,0
5/9/2021,16:00,"FitzVogt - Frijoles Charros, 4 oz",202,10,14,8,791
5/9/2021,21:00,"Kirkland Signature - Pastel 3 Leches, 100 gr.",232,36,8,4,200
5/10/2021,8:00,"FitzVogt - Frijoles Charros, 4 oz",202,10,14,8,791
5/10/2021,8:00,"Picaña - Picaña chida, 200 gramos",310,0,6,62,0
5/10/2021,16:00,"Kowi - Cochinita Pibil, 95 gr",134,0,6,20,303
5/10/2021,16:00,"Tortillas - Tortillas, 3 servings",150,30,4,3,15
5/10/2021,16:00,"FitzVogt - Frijoles Charros, 4 oz",202,10,14,8,791
5/11/2021,8:00,"Tamal de cazuela - Tamal verde, 160 grs",300,27,17,9,814
5/11/2021,8:00,"Bolillo - Bolillo, 1 mediano",125,23,2,4,274
5/11/2021,16:00,"Elizabeth's Carnitas - Carnitas, 2 cup",420,0,36,42,0
5/11/2021,16:00,"Tortillas - Tortillas, 3 servings",150,30,4,3,15
5/11/2021,21:00,"Kirkland Signature - Pastel 3 Leches, 100 gr.",232,36,8,4,200
5/12/2021,8:00,"Elizabeth's Carnitas - Carnitas, 2 cup",420,0,36,42,0
5/12/2021,8:00,"Tortillas - Tortillas, 3 servings",150,30,4,3,15
5/12/2021,16:00,"Sopes - Sopes, 200 gramo",398,82,4,8,40
5/12/2021,16:00,"Chorizo + - Chorizo C, 2.25 oz",290,1,24,7,788
5/12/2021,21:00,"Casero - Sandwich De Jamón Y Queso, 1 migñon",136,17,9,9,0
5/13/2021,8:00,"Maseca Tamal - Tamal Oaxaqueño, 100 g",363,74,3,10,0
5/13/2021,16:00,enchiladas,924,84,14.4,108,1000
5/13/2021,21:00,"Casero - Sandwich De Jamón Y Queso, 1 migñon",136,17,9,9,0
5/14/2021,8:00,"Maseca Tamal - Tamal Oaxaqueño, 100 g",363,74,3,10,0
5/14/2021,16:00,"ensalada atun - ensalada atun, 2.5 unidad",458,18,18,60,318
5/14/2021,16:00,"Casero - Sandwich De Atún, 1 sandwich",220,28,2,19,417
5/14/2021,21:00,"nito - bimbo, 1 pieza",252,37,10,3,155
5/15/2021,8:00,"chilaquiles - Chilaquiles, 1 plato",443,32,32,10,0
5/15/2021,8:00,"Huevos - Huevos Revueltos, 2 huevos",199,2,15,13,211
5/15/2021,16:00,tlacoyos,348,68.7,12.7,12,100
5/15/2021,16:00,"Generic - Papas Con Chorizo, 1/2 cup cooked",190,9,14,6,556
5/15/2021,21:00,"Concha - Vanilla, 1 concha",250,38,8,7,0
5/16/2021,8:00,"Homemade - Menudo Pancita De Res, 2 taza",208,19,9,13,1.942
5/16/2021,8:00,"Bolillo - Bolillo, 1 mediano",125,23,2,4,274
5/16/2021,16:00,"Carl's Junior - Super Star, 1 Sandwich",930,59,59,48,1.56
5/16/2021,16:00,"Carl's Jr. - Medium Fries, 1 order",430,56,21,5,870
5/16/2021,16:00,"Coca-Cola - Coca Cola, 330 ml",139,35,0,0,0
5/17/2021,8:00,"Huevos - Huevos Revueltos, 2 huevos",199,2,15,13,211
5/17/2021,8:00,"arroz roa - Arroz, 50 gr",180,43,0,3,0
5/17/2021,8:00,"Tortillas - Tortillas, 3 servings",150,30,4,3,15
5/17/2021,16:00,"Tortillas - Tortillas, 3 servings",150,30,4,3,15
5/17/2021,16:00,"Guisy - Alambre, 50 g",177,7,10,15,1
5/17/2021,16:00,"arroz roa - Arroz, 50 gr",180,43,0,3,0
5/18/2021,8:00,"Huevos - Huevos Revueltos, 2 huevos",199,2,15,13,211
5/18/2021,8:00,"arroz roa - Arroz, 50 gr",180,43,0,3,0
5/18/2021,8:00,"Tortillas - Tortillas, 3 servings",150,30,4,3,15
5/18/2021,16:00,"Guten Milanesa - Milanesa , 0.4 container (450 grs ea.)",358,3,21,39,1.334
5/18/2021,16:00,"Tortillas - Tortillas, 3 servings",150,30,4,3,15
5/18/2021,16:00,"Frijoles - Refritos, 1 cup",367,48,13,16,711
5/18/2021,21:00,"Generica - Torta De Milanesa - 1 Torta, 1 a torta",670,70,30,30,0
5/19/2021,8:00,"Huevos - Huevos Revueltos, 2 huevos",199,2,15,13,211
5/19/2021,8:00,"Pan Integral Bimbo - Pan Integral, 2 rebanadas 52g",130,20,2,8,190
5/19/2021,8:00,"mayonesa - Mayonesa, 1 cucharada",90,0,10,0,0
5/19/2021,8:00,"Catsup, 1 tbsp",17,5,0,0,154
5/19/2021,16:00,"Hot Dog Daniel - Hot Dog, 200 gramos",520,9,52,25,244
5/19/2021,21:00,"nito - bimbo, 1 pieza",252,37,10,3,155
5/20/2021,8:00,"Guten Milanesa - Milanesa , 0.4 container (450 grs ea.)",358,3,21,39,1.334
5/20/2021,8:00,"Pan Integral Bimbo - Pan Integral, 2 rebanadas 52g",130,20,2,8,190
5/20/2021,8:00,"mayonesa - Mayonesa, 1 cucharada",90,0,10,0,0
5/20/2021,8:00,"Catsup, 1 tbsp",17,5,0,0,154
5/20/2021,16:00,"Lalula - Pechuga Asada - Pechuga De Pollo, 200 g",208,0,3,43,110
5/20/2021,16:00,"Generic - Sincronizada, 2 piece",482,71.9,13.9,17.3,1.3
5/20/2021,21:00,"nito - bimbo, 1 pieza",252,37,10,3,155
5/21/2021,8:00,"Tamal de cazuela - Tamal verde, 160 grs",300,27,17,9,814
5/21/2021,8:00,"Bolillo - Bolillo, 1 mediano",125,23,2,4,274
5/21/2021,16:00,"Pescado - Pescado, 100 g",217,1,15,18,0
5/21/2021,16:00,"Tortillas - Tortillas, 3 servings",150,30,4,3,15
5/21/2021,16:00,"Fideos Coditos (Canale) - Fideos Coditos Canale, 80 g",266,57,1,8,11
5/21/2021,21:00,"nito - bimbo, 1 pieza",252,37,10,3,155
5/22/2021,8:00,"Bolillo - Bolillo, 1 mediano",125,23,2,4,274
5/22/2021,8:00,"Tamal de cazuela - Tamal verde, 160 grs",300,27,17,9,814
5/22/2021,16:00,"Costco - Pepperoni Pizza, 9 oz",620,68,24,34,1.29
5/22/2021,16:00,"Coca-Cola - Coca Cola, 330 ml",139,35,0,0,0
5/22/2021,21:00,"nito - bimbo, 1 pieza",252,37,10,3,155
5/23/2021,8:00,"Ihop** - Colorado Omelette, 1 serving",1240,18,96,77,2.98
5/23/2021,8:00,"Ihop - Buttermilk Pancakes (3), 3 Pancake",470,69,15,13,1.59
5/23/2021,8:00,"Jugo de naranja - Jugo, 1 vaso",112,26,1,2,2
5/23/2021,16:00,"Generica - Torta De Milanesa - 1 Torta, 2 a torta",1340,140,60,60,0
5/23/2021,21:00,"Tarta - Tarta Fructe, 100 g",279,47,9,3,0
5/24/2021,8:00,"Huevos - Huevos Revueltos, 2 huevos",199,2,15,13,211
5/24/2021,8:00,"Tortillas - Tortillas, 3 servings",150,30,4,3,15
5/24/2021,8:00,"FitzVogt - Frijoles Charros, 4 oz",202,10,14,8,791
5/24/2021,16:00,"Guten Milanesa - Milanesa , 1 container (450 grs ea.)",895,9,53,98,3.335
5/24/2021,16:00,"Tortillas - Tortillas, 3 servings",150,30,4,3,15
5/24/2021,16:00,"FitzVogt - Frijoles Charros, 4 oz",202,10,14,8,791
5/24/2021,21:00,"Generica - Torta De Milanesa - 1 Torta, 1 a torta",670,70,30,30,0
5/25/2021,8:00,"Guten Milanesa - Milanesa , 0.3 container (450 grs ea.)",269,3,16,29,1.001
5/25/2021,8:00,"Pan Integral Bimbo - Pan Integral, 2 rebanadas 52g",130,20,2,8,190
5/25/2021,8:00,"Catsup, 1 tbsp",17,5,0,0,154
5/25/2021,8:00,"mayonesa - Mayonesa, 1 cucharada",90,0,10,0,0
5/25/2021,16:00,"Tortillas - Tortillas, 3 servings",150,30,4,3,15
5/25/2021,16:00,"Skinnytaste - Picadillo, 1 cup",340,9,14,45,474
5/25/2021,21:00,"Fideos Coditos (Canale) - Fideos Coditos Canale, 80 g",266,57,1,8,11
5/25/2021,21:00,"7-Eleven - Torta de Jamón , 1 pieza",511,61,17,18,2.743
5/26/2021,8:00,"Huevos - Huevos Revueltos, 2 huevos",199,2,15,13,211
5/26/2021,8:00,"Bolillo - Bolillo, 1 mediano",125,23,2,4,274
5/26/2021,8:00,"mayonesa - Mayonesa, 1 cucharada",90,0,10,0,0
5/26/2021,16:00,"Skinnytaste - Picadillo, 1 cup",340,9,14,45,474
5/26/2021,16:00,"Tortillas - Tortillas, 3 servings",150,30,4,3,15
5/26/2021,16:00,"Cocido - Sopa, 1 plato",102,18,1,4,851
